Regions,Disparity Ratio_Full Time_HS_FBALLM-F,Score_Full Time_HS_FBALLM-F,Grades_Full Time_HS_FBALLM-F,Disparity Ratio-Unemployment_HS_FBALLM-F,Score_Unemployment_HS_FBALLM-F,Grades_Unemployment_HS_FBALLM-F,Disparity Ratio_Poverty_HS_FBALLM-F,Score_Poverty_HS_FBALLM-F,Grades_Poverty_HS_FBALLM-F,Disparity Ratio_Working Poor_HS_FBALLM-F,Score_Working Poor_HS_FBALLM-F,Grades_Working Poor_HS_FBALLM-F,Disparity Ratio-Income_HS_FBALLM-F,Score_Income_HS_FBALLM-F,Grades_Income_HS_FBALLM-F,Disparity Ratio-Rent Burden_HS_FBALLM-F,Score_Rent Burden_HS_FBALLM-F,Grades_Rent Burden_HS_FBALLM-F,Disparity Ratio_Homeownership_HS_FBALLM-F,Score_Homeownership_HS_FBALLM-F,Grades_Homeownership_HS_FBALLM-F,Disparity Ratio_Naturalization_HS_FBALLM-F,Score_Naturalization_HS_FBALLM-F,Grades_Naturalization_HS_FBALLM-F
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",0.91,0.05,C,#DIV/0!,#DIV/0!,#DIV/0!,0.96,-0.24,C,0.42,-0.32,C-,1.14,0.20,C,#DIV/0!,#DIV/0!,#DIV/0!,0.66,-0.69,C-,0.84,-0.34,C-
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",0.94,0.19,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.47,0.58,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.00,-0.13,C,0.90,-0.28,C-
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",0.72,-0.78,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.66,-0.34,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.00,-0.13,C,0.85,-0.32,C-
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",0.75,-0.64,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.93,-0.03,C,#DIV/0!,#DIV/0!,#DIV/0!,1.00,-0.13,C,0.80,-0.36,C-
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",1.01,0.50,B-,0.41,-0.38,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.57,-0.45,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.07,-0.02,C,1.12,-0.09,C
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",0.91,0.04,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.97,0.01,C,#DIV/0!,#DIV/0!,#DIV/0!,0.96,-0.21,C,1.13,-0.08,C
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",1.00,0.42,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.46,-0.57,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.41,-1.10,D,1.18,-0.04,C
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",0.57,-1.40,D-,0.00,-0.61,C-,0.73,-0.33,C-,0.00,-0.64,C-,3.45,2.83,A,#DIV/0!,#DIV/0!,#DIV/0!,1.45,0.61,B-,1.87,0.55,B-
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",1.19,1.27,A-,#DIV/0!,#DIV/0!,#DIV/0!,0.00,-0.61,C-,0.00,-0.64,C-,0.55,-0.47,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.00,-0.13,C,1.06,-0.14,C
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",1.13,1.00,B,0.00,-0.61,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.55,-0.46,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.89,-0.31,C-,1.29,0.05,C
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",0.81,-0.40,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.00,-0.61,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.85,-0.12,C,#DIV/0!,#DIV/0!,#DIV/0!,1.07,-0.02,C,1.21,-0.01,C
"Suffolk County (East) PUMA, New York",0.89,-0.04,C,#DIV/0!,#DIV/0!,#DIV/0!,0.00,-0.61,C-,0.00,-0.64,C-,0.34,-0.70,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.90,-0.30,C-,1.51,0.25,C
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",0.97,0.31,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.61,-0.37,C-,0.59,-0.19,C,0.75,-0.24,C,#DIV/0!,#DIV/0!,#DIV/0!,1.58,0.81,B,0.42,-0.69,C-
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",0.89,-0.03,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.91,-0.06,C,#DIV/0!,#DIV/0!,#DIV/0!,1.51,0.71,B-,1.02,-0.18,C
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",0.85,-0.20,C,#DIV/0!,#DIV/0!,#DIV/0!,1.40,-0.07,C,0.00,-0.64,C-,0.48,-0.55,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.70,-0.63,C-,0.90,-0.28,C-
"Suffolk County (Central)--Islip Town (East) PUMA, New York",0.90,0.01,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.33,0.41,B-,0.00,-0.87,D,2.38,2.13,A,1.53,0.26,B-
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",0.71,-0.79,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.73,-0.26,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.09,0.01,C,1.20,-0.02,C
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",0.67,-0.98,D,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.62,-0.39,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.71,-0.62,C-,2.50,1.10,B
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",1.00,0.44,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.77,-0.31,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.73,-0.26,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.09,0.02,C,1.02,-0.18,C
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",1.17,1.16,B,0.00,-0.61,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.71,-0.28,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.66,-0.70,C-,0.91,-0.27,C-
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",1.09,0.85,B,#DIV/0!,#DIV/0!,#DIV/0!,0.00,-0.61,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.97,0.01,C,#DIV/0!,#DIV/0!,#DIV/0!,0.42,-1.08,D,0.84,-0.34,C-
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",0.70,-0.87,D,2.53,0.80,B,7.32,2.20,A,#DIV/0!,#DIV/0!,#DIV/0!,0.46,-0.57,C-,0.36,-0.64,C-,0.86,-0.36,C-,0.94,-0.25,C
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",0.77,-0.54,C-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.61,-0.40,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.94,-0.24,C,1.04,-0.16,C
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",0.84,-0.24,C,10.71,5.37,A,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.22,0.30,B-,5.36,2.57,A,1.08,0.00,C,1.46,0.20,C
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",0.89,-0.02,C,0.00,-0.61,C-,0.78,-0.31,C-,0.67,-0.13,C,0.91,-0.06,C,0.21,-0.73,C-,2.28,1.97,A,1.00,-0.20,C
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",0.97,0.31,B-,1.37,0.16,C,1.52,-0.02,C,0.00,-0.64,C-,1.18,0.25,C,0.00,-0.87,D,0.71,-0.61,C-,1.54,0.27,B-
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",0.81,-0.39,C-,#DIV/0!,#DIV/0!,#DIV/0!,4.57,1.14,B,6.08,3.99,A,0.82,-0.16,C,3.64,1.46,A-,#DIV/0!,#DIV/0!,#DIV/0!,1.02,-0.17,C
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",0.97,0.30,B-,0.00,-0.61,C-,1.18,-0.15,C,0.93,0.07,C,0.98,0.03,C,0.85,-0.32,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.18,-0.04,C
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",0.85,-0.20,C,#DIV/0!,#DIV/0!,#DIV/0!,0.18,-0.54,C-,0.19,-0.50,C-,1.02,0.06,C,0.55,-0.52,C-,0.81,-0.45,C-,0.84,-0.33,C-
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",0.84,-0.25,C,0.00,-0.61,C-,0.52,-0.41,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.17,0.23,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.89,0.57,B-
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",0.75,-0.63,C-,0.38,-0.39,C-,0.48,-0.42,C-,0.37,-0.35,C-,1.18,0.25,B-,0.66,-0.45,C-,0.07,-1.66,D-,1.16,-0.06,C
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",1.02,0.53,B-,0.29,-0.44,C-,0.35,-0.47,C-,0.00,-0.64,C-,2.01,1.19,B,0.68,-0.44,C-,4.48,5.58,A,1.14,-0.07,C
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",0.92,0.09,C,0.79,-0.16,C,0.79,-0.30,C-,0.00,-0.64,C-,1.23,0.31,B-,0.71,-0.41,C-,1.15,0.12,C,1.06,-0.14,C
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",0.77,-0.53,C-,0.00,-0.61,C-,0.73,-0.33,C-,0.00,-0.64,C-,1.02,0.07,C,0.58,-0.50,C-,0.34,-1.21,D,0.98,-0.21,C
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",0.75,-0.65,C-,#DIV/0!,#DIV/0!,#DIV/0!,4.75,1.21,B,2.44,1.22,B,0.53,-0.49,C-,6.32,3.19,A,1.09,0.02,C,1.39,0.14,C
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",0.87,-0.11,C,#DIV/0!,#DIV/0!,#DIV/0!,0.72,-0.33,C-,0.00,-0.64,C-,0.49,-0.53,C-,0.16,-0.77,D,0.66,-0.70,C-,1.38,0.13,C
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",0.80,-0.40,C-,1.15,0.04,C,1.85,0.10,C,0.40,-0.33,C-,1.03,0.07,C,1.69,0.21,C,1.37,0.48,B-,1.29,0.05,C
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",0.86,-0.14,C,0.00,-0.61,C-,0.18,-0.54,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.58,-0.43,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.87,1.30,A-,0.81,-0.36,C-
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",0.92,0.09,C,#DIV/0!,#DIV/0!,#DIV/0!,16.58,5.74,A,#DIV/0!,#DIV/0!,#DIV/0!,1.13,0.19,C,#DIV/0!,#DIV/0!,#DIV/0!,0.59,-0.82,D,1.13,-0.08,C
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",0.98,0.36,B-,0.00,-0.61,C-,1.21,-0.14,C,2.61,1.35,A-,0.69,-0.30,C-,1.85,0.32,B-,0.75,-0.54,C-,1.57,0.29,B-
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",0.93,0.14,C,0.00,-0.61,C-,1.89,0.12,C,1.42,0.45,B-,0.85,-0.13,C,1.12,-0.15,C,1.04,-0.08,C,0.98,-0.21,C
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",0.80,-0.44,C-,0.00,-0.61,C-,3.88,0.88,B,3.46,2.00,A,0.77,-0.22,C,#DIV/0!,#DIV/0!,#DIV/0!,1.17,0.15,C,1.02,-0.18,C
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",0.92,0.10,C,0.00,-0.61,C-,1.26,-0.12,C,2.22,1.06,B,1.11,0.17,C,#DIV/0!,#DIV/0!,#DIV/0!,0.98,-0.16,C,0.87,-0.31,C-
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",1.19,1.25,B,2.37,0.72,B-,0.50,-0.41,C-,0.00,-0.64,C-,0.69,-0.31,C-,0.40,-0.61,C-,0.90,-0.29,C-,1.10,-0.11,C
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",1.27,1.62,A-,0.00,-0.61,C-,4.14,0.98,B,0.00,-0.64,C-,0.62,-0.39,C-,6.90,3.56,A,1.45,0.60,B-,0.88,-0.30,C-
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",0.39,-2.20,E,0.00,-0.61,C-,2.69,0.42,B-,2.10,0.97,B,0.69,-0.30,C-,0.77,-0.38,C-,1.90,1.34,A-,2.55,1.14,B
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",1.03,0.56,B-,2.14,0.59,B-,1.21,-0.14,C,#DIV/0!,#DIV/0!,#DIV/0!,0.60,-0.41,C-,2.01,0.42,B-,1.38,0.49,B-,0.91,-0.27,C-
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",0.86,-0.17,C,#DIV/0!,#DIV/0!,#DIV/0!,0.77,-0.31,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.65,-0.35,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.23,0.24,C,1.01,-0.19,C
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",0.77,-0.53,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.45,-0.05,C,1.26,0.33,B-,0.57,-0.44,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.25,-1.37,D-,3.02,1.54,A-
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",0.86,-0.17,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.04,0.09,C,0.68,-0.44,C-,1.26,0.30,B-,1.35,0.10,C
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",0.85,-0.20,C,#DIV/0!,#DIV/0!,#DIV/0!,0.29,-0.49,C-,0.00,-0.64,C-,0.65,-0.36,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.19,0.18,C,1.33,0.09,C
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",1.01,0.49,B-,1.94,0.48,B-,0.87,-0.27,C-,2.34,1.15,B,0.75,-0.23,C,#DIV/0!,#DIV/0!,#DIV/0!,0.90,-0.30,C-,1.21,-0.02,C
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",0.88,-0.08,C,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.00,0.05,C,0.06,-0.84,D,0.35,-1.20,D,2.20,0.84,B
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",0.96,0.25,B-,0.00,-0.61,C-,0.29,-0.50,C-,0.00,-0.64,C-,2.21,1.42,A-,0.30,-0.68,C-,1.03,-0.08,C,0.89,-0.29,C-
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",0.86,-0.14,C,2.36,0.71,B-,2.57,0.38,B-,0.00,-0.64,C-,1.27,0.36,B-,0.69,-0.43,C-,2.12,1.71,A-,0.76,-0.40,C-
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",0.92,0.09,C,0.50,-0.33,C-,0.96,-0.24,C,1.30,0.36,B-,0.81,-0.17,C,0.53,-0.53,C-,1.15,0.12,C,1.18,-0.04,C
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",0.93,0.14,C,0.00,-0.61,C-,1.52,-0.02,C,1.33,0.37,B-,0.64,-0.36,C-,1.04,-0.20,C,0.98,-0.16,C,0.89,-0.29,C-
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",0.97,0.31,B-,0.83,-0.14,C,0.42,-0.44,C-,0.25,-0.44,C-,1.39,0.49,B-,0.34,-0.65,C-,0.76,-0.53,C-,0.90,-0.28,C-
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",1.02,0.51,B-,5.38,2.40,A,0.54,-0.40,C-,0.17,-0.51,C-,0.66,-0.34,C-,1.21,-0.09,C,0.98,-0.17,C,0.82,-0.35,C-
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",0.95,0.24,C,0.06,-0.57,C-,0.61,-0.37,C-,0.33,-0.39,C-,0.97,0.01,C,0.45,-0.59,C-,1.07,-0.02,C,0.91,-0.27,C-
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",0.94,0.17,C,0.00,-0.61,C-,0.24,-0.51,C-,0.00,-0.64,C-,0.94,-0.02,C,0.10,-0.81,D,1.09,0.01,C,1.10,-0.11,C
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",0.92,0.11,C,0.83,-0.14,C,0.75,-0.32,C-,0.48,-0.27,C-,1.05,0.11,C,0.96,-0.25,C-,0.86,-0.36,C-,0.96,-0.23,C
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",0.79,-0.46,C-,4.59,1.95,A,1.14,-0.17,C,0.65,-0.14,C,1.05,0.11,C,0.90,-0.30,C-,0.81,-0.45,C-,1.10,-0.11,C
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",0.86,-0.15,C,1.50,0.23,C,1.99,0.16,C,0.80,-0.03,C,0.75,-0.24,C,2.11,0.48,B-,0.94,-0.23,C,1.13,-0.08,C
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",0.92,0.09,C,#DIV/0!,#DIV/0!,#DIV/0!,1.30,-0.11,C,0.38,-0.35,C-,0.85,-0.13,C,2.13,0.50,B-,1.06,-0.04,C,1.03,-0.17,C
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",0.95,0.21,C,0.40,-0.38,C-,3.31,0.66,B-,2.88,1.56,A-,1.13,0.20,C,#DIV/0!,#DIV/0!,#DIV/0!,1.02,-0.11,C,1.01,-0.19,C
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",0.98,0.35,B-,1.71,0.35,B-,1.57,0.00,C,1.48,0.49,B-,0.74,-0.26,C-,2.40,0.67,B-,1.06,-0.03,C,1.10,-0.11,C
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",0.95,0.24,C,4.52,1.91,A,1.30,-0.11,C,0.66,-0.13,C,1.02,0.06,C,1.19,-0.11,C,1.90,1.34,A-,0.80,-0.36,C-
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",0.87,-0.13,C,1.89,0.45,B-,0.85,-0.28,C-,0.00,-0.64,C-,0.54,-0.47,C-,0.96,-0.25,C-,1.04,-0.07,C,0.87,-0.31,C-
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",0.89,-0.02,C,0.85,-0.13,C,1.37,-0.08,C,0.00,-0.64,C-,0.92,-0.04,C,1.29,-0.04,C,0.79,-0.49,C-,0.88,-0.30,C-
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",1.10,0.87,B,1.68,0.33,B-,0.31,-0.49,C-,0.33,-0.38,C-,0.88,-0.09,C,#DIV/0!,#DIV/0!,#DIV/0!,0.90,-0.29,C-,1.04,-0.16,C
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",0.73,-0.73,C-,1.34,0.14,C,1.22,-0.14,C,0.97,0.10,C,0.84,-0.13,C,3.52,1.39,A-,1.14,0.10,C,1.00,-0.20,C
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",1.01,0.47,B-,1.96,0.49,B-,0.12,-0.56,C-,0.00,-0.64,C-,1.31,0.40,B-,0.47,-0.57,C-,1.03,-0.09,C,1.44,0.18,C
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",0.93,0.12,C,1.59,0.28,B-,1.33,-0.10,C,1.46,0.47,B-,0.77,-0.22,C,0.87,-0.31,C-,0.83,-0.41,C-,0.95,-0.24,C
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",0.85,-0.19,C,0.00,-0.61,C-,0.00,-0.61,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.99,0.04,C,#DIV/0!,#DIV/0!,#DIV/0!,0.89,-0.32,C-,0.93,-0.25,C-
