Regions,Disparity Ratio_Full Time_BABS_NBWNH-FBRace,Score_Full Time_BABS_NBWNH-FBRace,Grades_Full Time_BABS_NBWNH-FBRace,Disparity Ratio-Unemployment_BABS_NBWNH-FBRace,Score_Unemployment_BABS_NBWNH-FBRace,Grades_Unemployment_BABS_NBWNH-FBRace,Disparity Ratio_Poverty_BABS_NBWNH-FBRace,Score_Poverty_BABS_NBWNH-FBRace,Grades_Poverty_BABS_NBWNH-FBRace,Disparity Ratio_Working Poor_BABS_NBWNH-FBRace,Score_Working Poor_BABS_NBWNH-FBRace,Grades_Working Poor_BABS_NBWNH-FBRace,Disparity Ratio-Income_BABS_NBWNH-FBRace,Score_Income_BABS_NBWNH-FBRace,Grades_Income_BABS_NBWNH-FBRace,Disparity Ratio-Rent Burden_BABS_NBWNH-FBRace,Score_Rent Burden_BABS_NBWNH-FBRace,Grades_Rent Burden_BABS_NBWNH-FBRace,Disparity Ratio_Homeownership_BABS_NBWNH-FBRace,Score_Homeownership_BABS_NBWNH-FBRace,Grades_Homeownership_BABS_NBWNH-FBRace
Total GEOG-101,1.02,,,1.40,,,2.44,,,3.44,,,0.74,,,0.34,,,0.70,,
"St. Lawrence County PUMA, New York",1.22,1.07,B,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.48,B-,0.00,0.34,B-,0.53,-0.66,C-,0.00,0.50,B-,1.24,1.06,B
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",0.66,-1.61,D-,0.00,0.41,B-,2.47,0.06,C,24.25,-1.17,D,0.70,-0.32,C-,0.00,0.50,B-,1.19,0.93,B
"Warren & Washington Counties PUMA, New York",1.22,1.02,B,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.41,-0.88,D,#DIV/0!,#DIV/0!,#DIV/0!,1.14,0.80,B
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",1.14,0.68,B-,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,1.32,0.87,B,#DIV/0!,#DIV/0!,#DIV/0!,1.15,0.81,B
"Oneida County (Central)--Greater Utica & Rome Cities PUMA, New York",0.45,-2.61,E,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.98,0.21,C,5.76,-2.34,E,0.86,0.04,C
"Otsego, Schoharie, Oneida (South) & Herkimer (South) Counties PUMA; New York",0.52,-2.29,E,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.66,-0.41,C-,0.00,0.50,B-,0.53,-0.82,D
"Jefferson & Lewis Counties PUMA, New York",1.14,0.68,B-,0.00,0.41,B-,4.67,-0.31,C-,0.00,0.34,B-,1.46,1.14,B,0.00,0.50,B-,0.63,-0.56,C-
"Oswego County PUMA, New York",1.17,0.82,B,0.00,0.41,B-,0.00,0.48,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.81,-0.12,C,0.00,0.50,B-,1.11,0.72,B-
"Onondaga County (Central)--Syracuse City PUMA, New York",0.86,-0.66,C-,4.04,-0.63,C-,3.73,-0.15,C,0.00,0.34,B-,0.89,0.04,C,0.98,0.02,C,0.15,-1.84,E
"Onondaga County (North) PUMA, New York",1.14,0.66,B-,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.84,-0.06,C,0.00,0.50,B-,1.15,0.81,B
"Onondaga County (Central)--Syracuse City (Outer) PUMA, New York",0.78,-1.05,D,0.00,0.41,B-,9.40,-1.10,D,12.99,-0.47,C-,0.65,-0.43,C-,0.00,0.50,B-,0.40,-1.16,D
"Cayuga & Onondaga (South) Counties PUMA, New York",1.15,0.73,B-,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,1.32,0.88,B,#DIV/0!,#DIV/0!,#DIV/0!,1.13,0.77,B
"Wayne & Seneca Counties PUMA, New York",0.99,-0.03,C,0.00,0.41,B-,4.97,-0.36,C-,9.47,-0.25,C,0.73,-0.28,C-,3.69,-1.32,D-,0.41,-1.14,D
"Monroe County (East) PUMA, New York",1.17,0.78,B,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,1.20,0.63,B-,0.34,0.33,B-,0.10,-1.99,E
"Monroe County (Central)--Rochester City (East) PUMA, New York",0.90,-0.47,C-,19.34,-4.56,E,1.26,0.27,B-,0.95,0.28,B-,0.76,-0.20,C,0.00,0.50,B-,1.51,1.79,A
"Monroe County (Central)--Rochester City (West) PUMA, New York",0.70,-1.43,D-,0.00,0.41,B-,1.09,0.30,B-,0.00,0.34,B-,0.90,0.05,C,3.34,-1.15,D,1.16,0.85,B
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",0.67,-1.58,D-,#DIV/0!,#DIV/0!,#DIV/0!,2.10,0.13,C,0.00,0.34,B-,0.83,-0.09,C,#DIV/0!,#DIV/0!,#DIV/0!,0.88,0.10,C
"Monroe County (North & West) PUMA, New York",1.17,0.80,B,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,1.72,1.65,A-,#DIV/0!,#DIV/0!,#DIV/0!,1.17,0.87,B
"Monroe County (South) PUMA, New York",0.99,-0.03,C,0.00,0.41,B-,2.37,0.08,C,0.00,0.34,B-,1.02,0.28,B-,0.04,0.48,B-,0.64,-0.54,C-
"Genesee & Orleans Counties PUMA, New York",1.22,1.05,B,0.00,0.41,B-,33.77,-5.21,E,67.33,-3.84,E,0.18,-1.34,D-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",1.17,0.79,B,0.00,0.41,B-,6.58,-0.63,C-,0.00,0.34,B-,0.23,-1.23,D,0.00,0.50,B-,0.55,-0.78,D
"Niagara County (North & East) PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Erie County (Northwest) PUMA, New York",0.73,-1.28,D-,0.00,0.41,B-,3.84,-0.17,C,0.00,0.34,B-,1.35,0.93,B,0.00,0.50,B-,0.00,-2.24,E
"Erie County (North Central) PUMA, New York",1.06,0.30,B-,0.00,0.41,B-,8.18,-0.90,D,0.00,0.34,B-,1.51,1.24,B,0.00,0.50,B-,0.36,-1.29,D-
"Erie County (Northeast) PUMA, New York",1.15,0.73,B-,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.87,0.01,C,#DIV/0!,#DIV/0!,#DIV/0!,1.07,0.62,B-
"Erie County (Central) PUMA, New York",0.95,-0.23,C,19.45,-4.59,E,7.70,-0.82,D,27.52,-1.37,D-,0.78,-0.18,C,2.71,-0.84,D,0.69,-0.42,C-
"Erie County (West Central)--Buffalo City (East) PUMA, New York",0.39,-2.88,E,0.00,0.41,B-,6.47,-0.61,C-,0.00,0.34,B-,0.49,-0.74,C-,0.00,0.50,B-,0.35,-1.31,D-
"Erie County (West Central)--Buffalo City (West) PUMA, New York",0.66,-1.62,D-,0.00,0.41,B-,3.45,-0.10,C,3.81,0.10,C,0.70,-0.32,C-,0.86,0.07,C,0.16,-1.81,E
"Erie County (South) PUMA, New York",1.22,1.03,B,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.34,-1.02,D,#DIV/0!,#DIV/0!,#DIV/0!,0.00,-2.24,E
"Livingston & Wyoming Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.48,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.11,0.73,B-
"Ontario & Yates Counties PUMA, New York",1.21,0.98,B,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.69,-0.35,C-,0.00,0.50,B-,0.66,-0.47,C-
"Madison & Cortland Counties PUMA, New York",#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.50,B-,#DIV/0!,#DIV/0!,#DIV/0!
"Fulton & Montgomery Counties PUMA, New York",0.96,-0.17,C,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.73,-0.26,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.65,-0.51,C-
"Schenectady County--Schenectady City PUMA, New York",0.87,-0.60,C-,0.00,0.41,B-,4.08,-0.21,C,0.00,0.34,B-,1.05,0.35,B-,2.91,-0.94,D,0.75,-0.24,C
"Saratoga County (South & Central) PUMA, New York",0.84,-0.77,D,7.25,-1.45,D-,0.00,0.48,B-,0.00,0.34,B-,1.26,0.76,B,0.00,0.50,B-,0.92,0.20,C
"Saratoga County (Outer) PUMA, New York",0.62,-1.79,E,28.58,-6.93,E,8.07,-0.88,D,34.23,-1.78,E,0.18,-1.32,D-,0.00,0.50,B-,0.52,-0.85,D
"Rensselaer County--Troy City PUMA, New York",0.74,-1.24,D,6.28,-1.20,D,4.54,-0.28,C-,21.51,-0.99,D,0.56,-0.59,C-,0.00,0.50,B-,0.00,-2.24,E
"Albany County (East Central)--Albany City PUMA, New York",0.56,-2.09,E,0.00,0.41,B-,8.03,-0.87,D,0.00,0.34,B-,0.72,-0.29,C-,0.66,0.17,C,0.92,0.21,C
"Albany County (Outside Albany City) PUMA, New York",1.04,0.17,C,6.31,-1.21,D,0.50,0.40,B-,0.00,0.34,B-,0.91,0.07,C,0.00,0.50,B-,0.46,-1.01,D
"Columbia & Greene Counties PUMA, New York",0.91,-0.44,C-,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,1.79,1.77,A,0.00,0.50,B-,1.20,0.95,B
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",1.13,0.62,B-,0.00,0.41,B-,3.15,-0.05,C,6.77,-0.08,C,1.46,1.14,B,0.00,0.50,B-,0.40,-1.18,D
"Broome (Outer West) & Tioga Counties PUMA, New York",1.13,0.64,B-,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.65,-0.43,C-,#DIV/0!,#DIV/0!,#DIV/0!,1.13,0.78,B
"Chenango, Delaware & Broome (East) Counties PUMA; New York",1.17,0.81,B,0.00,0.41,B-,0.20,0.45,B-,0.00,0.34,B-,1.16,0.57,B-,0.00,0.50,B-,0.03,-2.17,E
"Tompkins County PUMA, New York",1.12,0.56,B-,0.00,0.41,B-,3.31,-0.08,C,0.54,0.31,B-,0.56,-0.60,C-,0.00,0.50,B-,0.41,-1.14,D
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",1.00,0.02,C,0.00,0.41,B-,0.33,0.43,B-,0.65,0.30,B-,2.58,3.29,A,0.00,0.50,B-,0.96,0.32,B-
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",0.00,-4.75,E,#DIV/0!,#DIV/0!,#DIV/0!,0.00,0.48,B-,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1.09,0.67,B-
"Cattaraugus & Allegany Counties PUMA, New York",1.19,0.90,B,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,4.98,7.93,A,#DIV/0!,#DIV/0!,#DIV/0!,1.19,0.93,B
"Chautauqua County PUMA, New York",1.14,0.67,B-,0.00,0.41,B-,11.06,-1.38,D-,27.83,-1.39,D-,0.19,-1.31,D-,6.07,-2.49,E,#DIV/0!,#DIV/0!,#DIV/0!
"Sullivan & Ulster (West) Counties PUMA, New York",0.95,-0.23,C,0.00,0.41,B-,0.08,0.47,B-,0.25,0.32,B-,0.74,-0.25,C-,0.00,0.50,B-,1.19,0.93,B
"Ulster County (East) PUMA, New York",0.59,-1.96,E,1.16,0.11,C,3.23,-0.06,C,11.28,-0.36,C-,1.15,0.55,B-,6.87,-2.89,E,0.75,-0.23,C
"Dutchess County (North & East) PUMA, New York",0.90,-0.48,C-,0.00,0.41,B-,2.45,0.07,C,0.00,0.34,B-,0.82,-0.10,C,1.51,-0.25,C,1.02,0.46,B-
"Dutchess County (Southwest) PUMA, New York",0.99,-0.03,C,0.00,0.41,B-,1.41,0.24,C,0.00,0.34,B-,1.30,0.82,B,2.39,-0.68,C-,0.92,0.22,C
"Orange County (Northeast)--Greater Newburgh City PUMA, New York",0.98,-0.12,C,0.00,0.41,B-,0.00,0.48,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.67,-0.38,C-,11.46,-5.15,E,1.05,0.56,B-
"Orange County (Northwest) PUMA, New York",1.18,0.86,B,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.60,-0.53,C-,0.61,0.20,C,0.87,0.08,C
"Orange County (Southeast) PUMA, New York",1.12,0.59,B-,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,1.60,1.41,A-,1.83,-0.40,C-,0.73,-0.31,C-
"Rockland County (North)--New City & Congers PUMA, New York",0.89,-0.55,C-,0.00,0.41,B-,3.03,-0.03,C,0.00,0.34,B-,0.85,-0.05,C,1.53,-0.26,C-,0.73,-0.29,C-
"Rockland County (South)--Orangetown, Clarkstown (South) & Ramapo (Southeast) Towns PUMA; New York",1.19,0.92,B,0.00,0.41,B-,0.00,0.48,B-,#DIV/0!,#DIV/0!,#DIV/0!,0.83,-0.08,C,5.93,-2.43,E,1.09,0.65,B-
"Rockland County (West)--Spring Valley, Suffern Villages & Monsey PUMA; New York",1.14,0.68,B-,0.00,0.41,B-,2.05,0.13,C,18.76,-0.82,D,0.91,0.08,C,2.03,-0.50,C-,0.72,-0.32,C-
"Putnam County PUMA, New York",0.91,-0.41,C-,2.52,-0.24,C,55.04,-8.80,E,48.59,-2.67,E,0.62,-0.48,C-,6.30,-2.61,E,0.88,0.11,C
"Westchester County (Northwest) PUMA, New York",1.00,-0.01,C,1.48,0.03,C,3.11,-0.04,C,1.86,0.22,C,0.67,-0.39,C-,0.07,0.47,B-,0.81,-0.08,C
"Westchester County (Northeast) PUMA, New York",1.12,0.58,B-,3.04,-0.37,C-,5.18,-0.39,C-,13.94,-0.53,C-,0.45,-0.82,D,0.24,0.38,B-,0.77,-0.20,C
"Westchester County (Southeast) PUMA, New York",1.11,0.53,B-,1.16,0.11,C,0.00,0.48,B-,0.00,0.34,B-,0.63,-0.47,C-,0.11,0.45,B-,0.72,-0.31,C-
"Westchester County (Central)--White Plains City PUMA, New York",1.16,0.77,B,1.04,0.14,C,2.62,0.04,C,9.75,-0.27,C-,0.59,-0.53,C-,0.30,0.35,B-,0.76,-0.23,C
"Westchester County (Southwest)--Yonkers City PUMA, New York",0.93,-0.32,C-,0.60,0.26,B-,0.25,0.44,B-,0.00,0.34,B-,0.90,0.05,C,1.02,-0.01,C,0.72,-0.33,C-
"Westchester County (South Central)--New Rochelle & Mount Vernon Cities PUMA, New York",0.89,-0.52,C-,2.84,-0.32,C-,7.17,-0.73,C-,0.00,0.34,B-,0.51,-0.70,C-,0.25,0.38,B-,0.53,-0.83,D
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",1.23,1.11,B,0.62,0.25,B-,0.88,0.33,B-,0.00,0.34,B-,0.49,-0.74,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.89,0.13,C
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",1.12,0.57,B-,1.50,0.03,C,2.25,0.10,C,5.50,0.00,C,0.57,-0.58,C-,0.33,0.34,B-,0.91,0.19,C
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",1.11,0.52,B-,0.57,0.26,B-,1.13,0.29,B-,0.00,0.34,B-,0.66,-0.41,C-,0.22,0.39,B-,0.91,0.19,C
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",1.12,0.58,B-,1.15,0.12,C,2.15,0.12,C,#DIV/0!,#DIV/0!,#DIV/0!,0.78,-0.18,C,0.03,0.49,B-,0.91,0.20,C
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",1.10,0.47,B-,1.13,0.12,C,6.81,-0.67,C-,#DIV/0!,#DIV/0!,#DIV/0!,0.82,-0.09,C,#DIV/0!,#DIV/0!,#DIV/0!,0.88,0.09,C
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",1.04,0.20,C,0.00,0.41,B-,2.19,0.11,C,#DIV/0!,#DIV/0!,#DIV/0!,0.64,-0.44,C-,0.50,0.25,B-,0.92,0.21,C
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",0.98,-0.08,C,1.32,0.07,C,0.00,0.48,B-,0.00,0.34,B-,0.80,-0.13,C,0.04,0.48,B-,1.13,0.77,B
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",0.99,-0.06,C,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.80,-0.14,C,#DIV/0!,#DIV/0!,#DIV/0!,1.07,0.60,B-
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",1.08,0.36,B-,0.00,0.41,B-,0.00,0.48,B-,#DIV/0!,#DIV/0!,#DIV/0!,1.03,0.31,B-,1.16,-0.07,C,1.06,0.59,B-
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",1.15,0.72,B-,13.98,-3.18,E,0.00,0.48,B-,0.00,0.34,B-,0.48,-0.76,D,0.07,0.46,B-,0.78,-0.15,C
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",1.08,0.38,B-,0.00,0.41,B-,0.00,0.48,B-,0.00,0.34,B-,0.50,-0.72,C-,0.00,0.50,B-,1.02,0.48,B-
